Current Packets,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
197,394.0,-,613.75,451.51323850520106,1588.8145404047802
35,70.0,1,613.75,451.51323850520106,1588.8145404047802
853,1706.0,0,613.75,451.51323850520106,1588.8145404047802
8,16.0,1,613.75,451.51323850520106,1588.8145404047802
22,44.0,0,613.75,451.51323850520106,1588.8145404047802
30,60.0,1,613.75,451.51323850520106,1588.8145404047802
18,36.0,1,613.75,451.51323850520106,1588.8145404047802
3,6.0,1,613.75,451.51323850520106,1588.8145404047802
7,14.0,0,613.75,451.51323850520106,1588.8145404047802
2197,4394.0,0,613.75,451.51323850520106,1588.8145404047802
3894,7788.0,1,613.75,451.51323850520106,1588.8145404047802
2294,4588.0,1,613.75,451.51323850520106,1588.8145404047802
