Current Packets,Max Value,Result,SD for Byte,SD for Residual
197, ,-,451.51323850520106,286.1587231414272
35, ,-,451.51323850520106,286.1587231414272
853, ,-,451.51323850520106,286.1587231414272
8, ,-,451.51323850520106,286.1587231414272
22,446.0,-,451.51323850520106,286.1587231414272
30,379.2,1,451.51323850520106,286.1587231414272
18,372.4,1,451.51323850520106,286.1587231414272
3,32.4,1,451.51323850520106,286.1587231414272
7,32.0,1,451.51323850520106,286.1587231414272
2197,902.0,0,451.51323850520106,286.1587231414272
3894,2447.6,0,451.51323850520106,286.1587231414272
2294,3358.0,1,451.51323850520106,286.1587231414272
