Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
152092.0,6565.28,-,34174.83539999999,29420.392441381922,29309.6815949642
603.0,540.24,-,34174.83539999999,29420.392441381922,29309.6815949642
100.0,574.76,-,34174.83539999999,29420.392441381922,29309.6815949642
896.0,572.92,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,595.72,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,652.2,-,34174.83539999999,29420.392441381922,29309.6815949642
100.0,652.2,-,34174.83539999999,29420.392441381922,29309.6815949642
189.0,706.84,-,34174.83539999999,29420.392441381922,29309.6815949642
131.0,757.92,-,34174.83539999999,29420.392441381922,29309.6815949642
92.0,754.84,-,34174.83539999999,29420.392441381922,29309.6815949642
416.0,809.8,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,851.8,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,852.28,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,908.76,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,908.76,-,34174.83539999999,29420.392441381922,29309.6815949642
100.0,965.24,-,34174.83539999999,29420.392441381922,29309.6815949642
178.0,1019.88,-,34174.83539999999,29420.392441381922,29309.6815949642
1434.0,1014.92,-,34174.83539999999,29420.392441381922,29309.6815949642
227.0,1016.2,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1065.76,-,34174.83539999999,29420.392441381922,29309.6815949642
100.0,1065.76,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1120.4,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1176.88,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1176.88,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1233.36,-,34174.83539999999,29420.392441381922,29309.6815949642
144.0,1289.84,-,34174.83539999999,29420.392441381922,29309.6815949642
633.0,1286.24,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1319.56,-,34174.83539999999,29420.392441381922,29309.6815949642
247.0,1376.04,-,34174.83539999999,29420.392441381922,29309.6815949642
198.0,1368.32,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1419.04,-,34174.83539999999,29420.392441381922,29309.6815949642
100.0,1475.52,-,34174.83539999999,29420.392441381922,29309.6815949642
100.0,1473.68,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1528.32,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1584.8,-,34174.83539999999,29420.392441381922,29309.6815949642
66.0,1584.8,-,34174.83539999999,29420.392441381922,29309.6815949642
138.0,1640.8,-,34174.83539999999,29420.392441381922,29309.6815949642
66.0,1693.92,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1693.44,-,34174.83539999999,29420.392441381922,29309.6815949642
231.0,1749.92,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1799.32,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1799.32,-,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1855.8,-,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1855.8,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1799.32,-,34174.83539999999,29420.392441381922,29309.6815949642
931.0,1855.8,-,34174.83539999999,29420.392441381922,29309.6815949642
147.0,1877.2,-,34174.83539999999,29420.392441381922,29309.6815949642
338.0,1873.48,-,34174.83539999999,29420.392441381922,29309.6815949642
123.0,1918.6,-,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1972.32,-,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1972.32,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,11053.64,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,11053.64,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,11053.64,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,11053.64,0,34174.83539999999,29420.392441381922,29309.6815949642
66.0,26917.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,26895.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,26895.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,26895.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26952.4,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,26895.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26915.16,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26860.2,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,26803.72,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26815.24,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26758.76,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,26758.76,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26815.24,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,26758.76,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30646.28,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30646.32,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30590.32,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30533.88,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30533.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30477.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30421.92,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30424.28,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30367.8,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30313.16,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30318.12,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30316.84,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30270.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30270.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30215.36,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30158.88,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30158.88,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,30102.4,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,30045.92,1,34174.83539999999,29420.392441381922,29309.6815949642
228499.0,30049.52,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,20930.84,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,20879.16,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,20886.68,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,20830.2,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,20775.56,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,20777.4,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,20720.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,20664.44,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,20664.44,1,34174.83539999999,29420.392441381922,29309.6815949642
398073.0,20607.96,0,34174.83539999999,29420.392441381922,29309.6815949642
928.0,4687.2,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4654.6,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4656.12,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4599.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4545.0,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4546.84,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4490.36,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4459.68,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4460.16,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4404.16,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4347.68,1,34174.83539999999,29420.392441381922,29309.6815949642
535.0,4369.2,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,4349.96,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4353.84,1,34174.83539999999,29420.392441381922,29309.6815949642
342.0,4353.88,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4342.36,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4342.84,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,4294.76,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,4240.64,1,34174.83539999999,29420.392441381922,29309.6815949642
98654.0,4240.64,0,34174.83539999999,29420.392441381922,29309.6815949642
55.0,296.68,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,296.68,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,296.68,1,34174.83539999999,29420.392441381922,29309.6815949642
55.0,297.12,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,297.12,1,34174.83539999999,29420.392441381922,29309.6815949642
66.0,297.12,1,34174.83539999999,29420.392441381922,29309.6815949642
