Current Byte,Max Value,Residual,Result,SD for Byte,SD for Residual
154943.0,309886.0, ,-,413021.4208483154,1139493.924649967
9189.0,18378.0,300697.0,1,413021.4208483154,1139493.924649967
797495.0,1594990.0,-779117.0,0,413021.4208483154,1139493.924649967
530.0,1060.0,1594460.0,1,413021.4208483154,1139493.924649967
3993.0,7986.0,-2933.0,0,413021.4208483154,1139493.924649967
3499.0,6998.0,4487.0,1,413021.4208483154,1139493.924649967
1462.0,2924.0,5536.0,1,413021.4208483154,1139493.924649967
187.0,374.0,2737.0,1,413021.4208483154,1139493.924649967
1412.0,2824.0,-1038.0,0,413021.4208483154,1139493.924649967
1299473.0,2598946.0,-1296649.0,0,413021.4208483154,1139493.924649967
2940324.0,5880648.0,-341378.0,0,413021.4208483154,1139493.924649967
1968232.0,3936464.0,3912416.0,1,413021.4208483154,1139493.924649967
